Analytics (Mixpanel)	 $ 300 			Jan-25	 $ 25 	 $ 25 	 $ 25 	 $ 75 	 $ 25 	 $ 25 	 $ 25 	 $ 75 	 $ 25 	 $ 25 	 $ 25 	 $ 75 	 $ 25 	 $ 25 	 $ 25 	 $ 75 	 $ 300 
Total Infrastructure:	 $ 16,632 				 $ 1,386 	 $ 1,386 	 $ 1,386 	 $ 4,158 	 $ 1,386 	 $ 1,386 	 $ 1,386 	 $ 4,158 	 $ 1,386 	 $ 1,386 	 $ 1,386 	 $ 4,158 	 $ 1,386 	 $ 1,386 	 $ 1,386 	 $ 4,158 	 $ 16,632 
																					
																					
Software & Tools: 																					
Title	Annual			Start Date	Jan-25	Feb-25	Mar-25	Q1 2025	Apr-25	May-25	Jun-25	Q2 2025	Jul-25	Aug-25	Sep-25	Q3 2025	Oct-25	Nov-25	Dec-25	Q4 2025	FY 2025
GitHub Team	 $ 528 			Jan-25	 $ 44 	 $ 44 	 $ 44 	 $ 132 	 $ 44 	 $ 44 	 $ 44 	 $ 132 	 $ 44 	 $ 44 	 $ 44 	 $ 132 	 $ 44 	 $ 44 	 $ 44 	 $ 132 	 $ 528 
Figma Professional	 $ 180 			Jan-25	 $ 15 	 $ 15 	 $ 15 	 $ 45 	 $ 15 	 $ 15 	 $ 15 	 $ 45 	 $ 15 	 $ 15 	 $ 15 	 $ 45 	 $ 15 	 $ 15 	 $ 15 	 $ 45 	 $ 180 
Notion Team	 $ 120 			Jan-25	 $ 10 	 $ 10 	 $ 10 	 $ 30 	 $ 10 	 $ 10 	 $ 10 	 $ 30 	 $ 10 	 $ 10 	 $ 10 	 $ 30 	 $ 10 	 $ 10 	 $ 10 	 $ 30 	 $ 120 
Slack Pro	 $ 180 			Jan-25	 $ 15 	 $ 15 	 $ 15 	 $ 45 	 $ 15 	 $ 15 	 $ 15 	 $ 45 	 $ 15 	 $ 15 	 $ 15 	 $ 45 	 $ 15 	 $ 15 	 $ 15 	 $ 45 	 $ 180 
Linear	 $ 120 			Jan-25	 $ 10 	 $ 10 	 $ 10 	 $ 30 	 $ 10 	 $ 10 	 $ 10 	 $ 30 	 $ 10 	 $ 10 	 $ 10 	 $ 30 	 $ 10 	 $ 10 	 $ 10 	 $ 30 	 $ 120 
Total Software:	 $ 1,128 				 $ 94 	 $ 94 	 $ 94 	 $ 282 	 $ 94 	 $ 94 	 $ 94 	 $ 282 	 $ 94 	 $ 94 	 $ 94 	 $ 282 	 $ 94 	 $ 94 	 $ 94 	 $ 282 	 $ 1,128 
																					
																					
Legal & Administrative: 																					
Title	Annual			Start Date	Jan-25	Feb-25	Mar-25	Q1 2025	Apr-25	May-25	Jun-25	Q2 2025	Jul-25	Aug-25	Sep-25	Q3 2025	Oct-25	Nov-25	Dec-25	Q4 2025	FY 2025
Company Formation	 $ 1,500 			Jan-25	 $ 1,500 	 $ -   	 $ -   	 $ 1,500 	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ 1,500 
Legal Retainer	 $ 6,000 			Jan-25	 $ 500 	 $ 500 	 $ 500 	 $ 1,500 	 $ 500 	 $ 500 	 $ 500 	 $ 1,500 	 $ 500 	 $ 500 	 $ 500 	 $ 1,500 	 $ 500 	 $ 500 	 $ 500 	 $ 1,500 	 $ 6,000 
Accounting/Bookkeeping	 $ 3,600 			Jan-25	 $ 300 	 $ 300 	 $ 300 	 $ 900 	 $ 300 	 $ 300 	 $ 300 	 $ 900 	 $ 300 	 $ 300 	 $ 300 	 $ 900 	 $ 300 	 $ 300 	 $ 300 	 $ 900 	 $ 3,600 
Business Insurance	 $ 2,400 			Jan-25	 $ 200 	 $ 200 	 $ 200 	 $ 600 	 $ 200 	 $ 200 	 $ 200 	 $ 600 	 $ 200 	 $ 200 	 $ 200 	 $ 600 	 $ 200 	 $ 200 	 $ 200 	 $ 600 	 $ 2,400 
Total Legal/Admin:	 $ 13,500 				 $ 2,500 	 $ 1,000 	 $ 1,000 	 $ 4,500 	 $ 1,000 	 $ 1,000 	 $ 1,000 	 $ 3,000 	 $ 1,000 	 $ 1,000 	 $ 1,000 	 $ 3,000 	 $ 1,000 	 $ 1,000 	 $ 1,000 	 $ 3,000 	 $ 13,500 
																					
																					
User Acquisition & Marketing:																					
Title	Annual			Start Date	Jan-25	Feb-25	Mar-25	Q1 2025	Apr-25	May-25	Jun-25	Q2 2025	Jul-25	Aug-25	Sep-25	Q3 2025	Oct-25	Nov-25	Dec-25	Q4 2025	FY 2025
Paid Social (Meta/TikTok)	 $ 30,000 			Jan-25	 $ 1,500 	 $ 1,500 	 $ 2,000 	 $ 5,000 	 $ 2,500 	 $ 2,500 	 $ 3,000 	 $ 8,000 	 $ 3,000 	 $ 3,000 	 $ 3,500 	 $ 9,500 	 $ 2,500 	 $ 2,500 	 $ 2,500 	 $ 7,500 	 $ 30,000 
Influencer Partnerships	 $ 12,000 			Feb-25	 $ -   	 $ 1,000 	 $ 1,000 	 $ 2,000 	 $ 1,000 	 $ 1,000 	 $ 1,000 	 $ 3,000 	 $ 1,000 	 $ 1,000 	 $ 1,000 	 $ 3,000 	 $ 1,000 	 $ 1,000 	 $ 2,000 	 $ 4,000 	 $ 12,000 
Content Marketing (SEO)	 $ 4,800 			Jan-25	 $ 400 	 $ 400 	 $ 400 	 $ 1,200 	 $ 400 	 $ 400 	 $ 400 	 $ 1,200 	 $ 400 	 $ 400 	 $ 400 	 $ 1,200 	 $ 400 	 $ 400 	 $ 400 	 $ 1,200 	 $ 4,800 
App Store Optimization	 $ 3,000 			Mar-25	 $ -   	 $ -   	 $ 1,500 	 $ 1,500 	 $ 500 	 $ 500 	 $ 500 	 $ 1,500 	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ -   	 $ 3,000 
Total Marketing:	 $ 49,800 				 $ 1,900 	 $ 2,900 	 $ 4,900 	 $ 9,700 	 $ 4,400 	 $ 4,400 	 $ 4,900 	 $ 13,700 	 $ 4,400 	 $ 4,400 	 $ 4,900 	 $ 13,700 	 $ 3,900 	 $ 3,900 	 $ 4,900 	 $ 12,700 	 $ 49,800 
																					
																					
Operational Costs:																					
Title	Annual			Start Date	Jan-25	Feb-25	Mar-25	Q1 2025	Apr-25	May-25	Jun-25	Q2 2025	Jul-25	Aug-25	Sep-25	Q3 2025	Oct-25	Nov-25	Dec-25	Q4 2025	FY 2025
Payment Processing (Stripe)	 $ 3,480 			Apr-25	 $ -   	 $ -   	 $ -   	 $ -   	 $ 100 	 $ 150 	 $ 200 	 $ 450 	 $ 300 	 $ 400 	 $ 500 	 $ 1,200 	 $ 600 	 $ 700 	 $ 530 	 $ 1,830 	 $ 3,480 
Gemini API Overage	 $ 6,000 			Apr-25	 $ -   	 $ -   	 $ -   	 $ -   	 $ 200 	 $ 300 	 $ 400 	 $ 900 	 $ 500 	 $ 600 	 $ 700 	 $ 1,800 	 $ 800 	 $ 900 	 $ 1,600 	 $ 3,300 	 $ 6,000 
Firebase Scaling	 $ 4,000 			Apr-25	 $ -   	 $ -   	 $ -   	 $ -   	 $ 150 	 $ 200 	 $ 250 	 $ 600 	 $ 350 	 $ 450 	 $ 550 	 $ 1,350 	 $ 650 	 $ 700 	 $ 700 	 $ 2,050 	 $ 4,000 
Customer Support Tools	 $ 1,500 			Apr-25	 $ -   	 $ -   	 $ -   	 $ -   	 $ 74 	 $ 74 	 $ 100 	 $ 248 	 $ 125 	 $ 150 	 $ 175 	 $ 450 	 $ 200 	 $ 250 	 $ 352 	 $ 802 	 $ 1,500 
Total Operational:	 $ 14,980 				 $ -   	 $ -   	 $ -   	 $ -   	 $ 524 	 $ 724 	 $ 950 	 $ 2,198 	 $ 1,275 	 $ 1,600 	 $ 1,925 	 $ 4,800 	 $ 2,250 	 $ 2,550 	 $ 3,182 	 $ 7,982 	 $ 14,980 
																					
																					
Total Costs:																					
Title	Annual			Start Date	Jan-25	Feb-25	Mar-25	Q1 2025	Apr-25	May-25	Jun-25	Q2 2025	Jul-25	Aug-25	Sep-25	Q3 2025	Oct-25	Nov-25	Dec-25	Q4 2025	FY 2025
Total Fixed Costs 	 $ 300,040 				 $ 24,480 	 $ 23,980 	 $ 25,980 	 $ 74,440 	 $ 27,804 	 $ 28,004 	 $ 28,730 	 $ 84,538 	 $ 28,555 	 $ 28,880 	 $ 29,705 	 $ 87,140 	 $ 29,030 	 $ 29,330 	 $ 30,962 	 $ 89,322 	 $ 335,440 
Contingency (15%)					 $ 3,672 	 $ 3,597 	 $ 3,897 	 $ 11,166 	 $ 4,171 	 $ 4,201 	 $ 4,310 	 $ 12,681 	 $ 4,283 	 $ 4,332 	 $ 4,456 	 $ 13,071 	 $ 4,355 	 $ 4,400 	 $ 4,644 	 $ 13,398 	 $ 50,316 
TOTAL COSTS	 $ 345,046 				 $ 28,152 	 $ 27,577 	 $ 29,877 	 $ 85,606 	 $ 31,975 	 $ 32,205 	 $ 33,040 	 $ 97,219 	 $ 32,838 	 $ 33,212 	 $ 34,161 	 $ 100,211 	 $ 33,385 	 $ 33,730 	 $ 35,606 	 $ 102,720 	 $ 385,756 
																					
																					
Burn Rate Analysis:																					
Average Monthly Burn	 $ 32,146 																				
Cash Available (Capital)	 $ 300,000 																				
Months of Runway	9.3																				
Recommended Seed Round	 $ 300,000 																				
Notes	Includes 18-month runway buffer																				

